Variable Name,Description / Original Question
Age,What is your age?
Gender,What is your gender?
Occupation,What is your occupation?
Family_Abroad,Does any member of your family live abroad?
Migration_Decision,Have you decided to move abroad?
Stay_Duration,How long do you plan to stay abroad?
Program_Awareness,Are you aware of migration programs/scholarships?
Social_Media_Role,Role of social media in influencing decision?
Influencing_Factors,Who or what influences your decision?
Preferred_Country,Which countries are you interested in?
Stress_Level,How much stress/anxiety experienced?
Migration_Goal,Primary goal for moving abroad?
Stress_Type,Type of psychological stress experienced?
Coping_Strategy,How do you cope with the stress?
Trend_Perception,Have migration trends increased?
Migration_Barrier,Biggest barrier to migrating?
Return_Intention,Will you return to Bangladesh?
Impact_Perception,Impact on family or community?
Govt_Support,Does govt offer enough support?
Family_Responsibility,Sense of responsibility towards family?
Recommendation_Score,Likelihood to recommend going abroad (1-5)
